招录机关名称	招录职位名称	招录职位编码	缴费状况（缴费人数与招录名额的比例区间）
中共成都市委党史研究室	党史研究	26101001	< 5:1
成都市发展和改革委员会	业务岗位	26101002	≥ 5:1 且 < 30:1
成都市人力资源和社会保障局	仲裁员	26101003	≥ 5:1 且 < 30:1
成都市住房和城乡建设局	工程质量监督	26101030	< 5:1
成都市住房和城乡建设局	施工安全监督	26101031	< 5:1
成都市城市管理委员会	信息化管理	26101035	≥ 5:1 且 < 30:1
自贡市农业农村局	工作人员	26102001	≥ 5:1 且 < 30:1
自贡市农业农村局	工作人员	26102002	< 5:1
自贡市文化广播电视和旅游局	工作人员	26102004	< 5:1
自贡市公路建设服务中心	工作人员	26102005	< 5:1
自贡市公路建设服务中心	工作人员	26102006	< 5:1
自贡市道路交通运输服务中心	工作人员	26102007	< 5:1
自贡市地方海事服务中心	工作人员	26102008	< 5:1
自贡市社会保险事务中心	工作人员	26102009	< 5:1
自贡市社会保险事务中心	工作人员	26102010	< 5:1
自贡市就业创业促进中心	工作人员	26102011	< 5:1
自贡市水利电力基本建设工程质量监督站	工作人员	26102014	≥ 5:1 且 < 30:1
自贡市城市管理综合执法监督支队	工作人员	26102015	< 5:1
攀枝花市纪委监委	监督检查	26103001	≥ 5:1 且 < 30:1
攀枝花市司法局	仲裁秘书	26103002	< 5:1
攀枝花市财政局	财政监督检查	26103003	≥ 5:1 且 < 30:1
攀枝花市财政局	国库集中支付	26103004	< 5:1
攀枝花市人力资源和社会保障局	财务管理	26103005	< 5:1
攀枝花市人力资源和社会保障局	公共就业服务	26103006	≥ 5:1 且 < 30:1
攀枝花市人力资源和社会保障局	稽核风控	26103007	< 5:1
攀枝花市人力资源和社会保障局	工伤保险业务	26103008	< 5:1
攀枝花市人力资源和社会保障局	劳动保障监察执法信息管理	26103009	≥ 5:1 且 < 30:1
攀枝花市自然资源和规划局	自然资源执法监察	26103010	< 5:1
攀枝花市住房和城乡建设局	财务	26103012	≥ 5:1 且 < 30:1
攀枝花市住房和城乡建设局	会计	26103013	< 5:1
攀枝花市住房和城乡建设局	建设工程质量安全技术服务	26103014	≥ 5:1 且 < 30:1
攀枝花市交通运输局	运输服务业务	26103015	≥ 5:1 且 < 30:1
攀枝花市交通运输局	航务海事业务	26103016	< 5:1
攀枝花市交通运输局	公路事业业务	26103017	≥ 5:1 且 < 30:1
攀枝花市水利局	水政监察执法	26103018	< 5:1
攀枝花市农业农村局	行政执法监督	26103019	≥ 5:1 且 < 30:1
攀枝花市卫生健康委员会	综合行政管理	26103020	≥ 5:1 且 < 30:1
攀枝花市城市管理行政执法局	执法监督	26103023	≥ 5:1 且 < 30:1
攀枝花市城市管理行政执法局	业务科室管理	26103024	< 5:1
攀枝花市医疗保障局	办公室管理	26103025	≥ 5:1 且 < 30:1
攀枝花市医疗保障局	医保经办	26103026	≥ 5:1 且 < 30:1
攀枝花市机关事务服务中心	党务、机要、文秘	26103027	≥ 5:1 且 < 30:1
攀枝花市社科联	办公室工作人员	26103028	≥ 5:1 且 < 30:1
攀枝花钒钛高新技术产业开发区管理委员会	综合行政管理	26103029	< 5:1
德阳市档案馆	工作人员	26105001	≥ 5:1 且 < 30:1
德阳市人力资源和社会保障局	工作人员	26105002	≥ 30:1 且 < 50:1
德阳市社会保险事务中心	工作人员	26105003	< 5:1
德阳市就业创业促进中心	工作人员	26105004	≥ 5:1 且 < 30:1
德阳市文化广播电视和旅游局（一）	工作人员	26105005	< 5:1
德阳市文化广播电视和旅游局（二）	工作人员	26105006	≥ 5:1 且 < 30:1
德阳市建设监察支队	工作人员	26105021	< 5:1
德阳市水利工程建设质量与安全监督站	工作人员	26105022	< 5:1
德阳市老龄健康服务中心	工作人员	26105023	≥ 5:1 且 < 30:1
中共广元市纪委监委	综合事务	26107001	< 5:1
中共广元市委办公室	综合事务	26107002	≥ 5:1 且 < 30:1
广元市卫生健康委员会	综合事务	26107003	< 5:1
广元市司法局	综合事务	26107010	≥ 5:1 且 < 30:1
广元市应急管理局	综合事务	26107021	< 5:1
广元市工商业联合会	综合事务	26107022	≥ 5:1 且 < 30:1
市残疾人联合会	综合岗位	26109001	≥ 5:1 且 < 30:1
南充市文化广播电视和旅游局	工作人员	26111005	≥ 5:1 且 < 30:1
达州市自然资源和规划局	工作人员	26112001	< 5:1
达州市生态环境局	工作人员	26112002	< 5:1
达州市生态环境局	工作人员（一）	26112003	< 5:1
达州市生态环境局	工作人员（二）	26112004	≥ 5:1 且 < 30:1
达州市生态环境局	工作人员	26112005	< 5:1
